document_id,clean_text,sentiment
0,one step masterpiec,positive
1,one best sequel anyth ever made,positive
2,okay peak,positive
3,new empir strike back,positive
4,master imax spiderman,positive
5,greatest spiderman film ever,positive
6,need nomin best pictur,positive
7,overhyp felt disappoint,neutral
8,wow wow,positive
9,good still like first one better,positive
10,messi messi messi,neutral
11,perfect,positive
12,movi far,positive
13,one best movi ever seen,positive
14,across univers fun excel adventur spiderman make connect web wow,positive
15,spiderman middl spidervers,positive
16,peopl crazi,neutral
17,hype,neutral
18,disappoint,neutral
19,multivers open door spidervers,positive
20,complet exceed expect,positive
21,discov spidervers biggest way wonder way possibl,positive
22,half movi,positive
23,make mcu look like hot garbag,positive
24,worthi followup perfect,positive
25,feel sequel current glitch,positive
26,slow overlong clich,neutral
27,best anim ever saw,positive
28,one overhyp movi ever watch,neutral
29,felt like go seizur push lazi write,neutral
30,masterpiec,positive
31,mindbend masterpiec,positive
32,one best film recent memori,positive
33,new sequel explor made first film groundbreak,positive
34,beauti,positive
35,best movi decad,positive
36,visual overstimul,positive
37,watch soon possibl,positive
38,audibl groan cinema finish,positive
39,best spiderman movi,positive
40,spider man anim movi masterpiec,positive
41,master piec,positive
42,absolut gorgeou insid,positive
43,best movi far,positive
44,perfect sequel,positive
45,decent nowher good first,neutral
46,best cinecom chang life,positive
47,want love like,positive
48,perhap everyon,negative
49,one movi wont forget realli realli long time,positive
50,best spiderman ive seen,positive
51,one best spider man movi,positive
52,one favourit movi,positive
53,spider gwen,positive
54,probabl better st,positive
55,mani theater goer walk end,neutral
56,goat,positive
57,manag overlong incomplet,neutral
58,overr movi time,neutral
59,downsid,positive
60,phenomen,positive
61,spiderman across spidervers great movi spolier,positive
62,movi peak masterpiec,positive
63,across spidervers wow,positive
64,best spidey movi ever part one,positive
65,fine definit doesnt deserv rate,positive
66,thank soni,positive
67,review,positive
68,nowher near good previou big disappoint,negative
69,wow,positive
70,spiderman across spidervers review,positive
71,beyond spectacular beyond amaz,positive
72,perfect sequel perfect movi,positive
73,greatest anim film time,positive
74,movi charact comic comic book made movi,positive
75,place,neutral
76,movi worth everi penni time spend,positive
77,great good,neutral
78,overhyp im give lower rate justic,negative
79,absolut worthi successor,positive
80,best movi ive ever seen,positive
81,one greatest anim film ive ever seen,positive
82,entertain,positive
83,best anim movi year,positive
84,new favorit spiderman movi,positive
85,first one better imo,neutral
86,nonstop chao,negative
87,yall silli,positive
88,best pictur best pictur,positive
89,liter perfect,positive
90,overwhelmingli amaz,positive
91,greatest anim film time,positive
92,someth truli special,positive
93,take crap establish salut hahaha,neutral
94,skip,positive
95,good st besid hype,positive
96,kid,neutral
97,wow could think movi end big shoe fill god deliv,positive
98,anim best,positive
99,expect sky high yet movi still manag surpass,positive
